"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка формы на странце контактов","","0","0","0","4","0"
"","Проверка кнопки Купить в 1 клик","","0","0","0","4","0"
"","Проверка кнопки заказать звонок","","0","0","0","4","0"
"","Проверка кнопки скачать снандарт","","0","0","0","4","0"
"","Проверка кнопки Заказать в 1 клик","","0","0","0","8","0"
"","Проверка сайта forging.emk24.su","","0","0","0","4","0"
"","Проверка корзины","","0","0","1","0","0"
"","Проверка сайта emkmet.ru","","0","0","0","4","0"
